question,expected_tables,expected_result_type,expected_valid,category,notes
"What is the total salary of all employees?","employees",aggregate,true,aggregate,SUM on single table
"How many employees are there?","employees",aggregate,true,aggregate,COUNT on single table
"What is the average salary across all employees?","employees",aggregate,true,aggregate,AVG on single table
"What is the total sales amount across all records?","sales",aggregate,true,aggregate,SUM on sales table
"How many sales transactions have been recorded?","sales",aggregate,true,aggregate,COUNT on sales
"What is the highest salary among all employees?","sales|employees",aggregate,true,aggregate,MAX salary
"List all employees with a salary greater than 60000","employees",filter,true,filter,Salary threshold filter
"Show all customers located in California","customers",filter,true,filter,Location filter
"Find all sales with amount greater than 4500","sales",filter,true,filter,Amount threshold filter
"List all departments","departments",filter,true,filter,Full table scan
"Show all employees in the Sales department","employees|departments",join,true,join,Join with department filter
"List employee names along with their department names","employees|departments",join,true,join,Inner join two tables
"Show all sales along with the name of the employee who made them","sales|employees",join,true,join,Join sales and employees
"Which employees are in the Engineering department?","employees|departments",join,true,join,Join with specific department filter
"Show sales amounts along with the names of employees who made them","sales|employees",join,true,join,Join with projection
"What is the total salary cost per department?","employees|departments",group_by,true,group_by,GROUP BY with SUM
"How many employees are in each department?","employees|departments",group_by,true,group_by,GROUP BY with COUNT
"What is the total sales amount generated by each employee?","sales|employees",group_by,true,group_by,GROUP BY with SUM
"What is the average salary by department?","employees|departments",group_by,true,group_by,GROUP BY with AVG
"What is the total revenue for each month?","sales",aggregate,true,aggregate,Date-based grouping
"What is the total bonus paid to all employees?","employees",aggregate,false,hallucination_bait,Column 'bonus' does not exist
"Show all records from the orders table","",filter,false,hallucination_bait,Table 'orders' does not exist
"List all employees with their performance_rating","employees",filter,false,hallucination_bait,Column 'performance_rating' does not exist
"What is the total revenue from the transactions table?","",aggregate,false,hallucination_bait,Table 'transactions' does not exist
"Show all products with their prices","",filter,false,hallucination_bait,Table 'products' does not exist
